상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,겨울에도 입기 좋을거같네요 실물이 이쁩니다 굿,30,177,72,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,예전에 샀던 무신사 코듀로이보가 핏감과 길이감이 훨씬 좋습니다 이대로 재질만 다른 다른 바지 다 사구싶어요,28,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,색상도 너무 좋고 이쁘네요.핏도 좋아서 매치하기 좋네요.,34,0,0,-,-,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,너무 이뻐요~~ 잘 입겠습니다 :) 보들보들하고 손이 잘 갈 것 같아요! 믿고 입는 무탠다드,31,183,75,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,보들보들 하고 피도 와이드로 편안하게 떨어져서 만족해요 할인받음 3만원대인데 가성비 최곱니다,33,181,85,-,-,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,겨울에 입기에는 다소 얇긴하나 봄가을엔 최고인거 같아요,32,174,72,-,-,커요,어두워요,보통이에요,얇아요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,적당히 이쁘고 사이즈도 딱 맞습니다제 키에는 2센치? 정도 길어요,30,171,74,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,"코듀로이 특유의 따뜻한 건 좋았습니다. 26인치 허리 기준으로는 살짝 허리가 크구요, 172 센치 키 기준으로는 신발을 덮기 애매한 기장감입니다. 턱 디테일 때문인지 남성분들은 그 부분이 유독 부각돼 보일 수 있습니다. 저는 이거 때문에 손이 잘 안 가게 되더라구요.",28,172,60,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏도 좋고 색감도 가을에 입기 딱좋네요. 상의랑 매칭도 편함,28,168,59,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,코듀로이 팬츠 첨 입문하는데 아주 좋습니다 다른 색상도 사고 싶네요,32,180,77,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
