상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,무난무난한 핵가성비의 티셔츠 무탠다드 최고에요,01. 화이트/블랙/XL,180,90,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,감사합니다 가성비도 좋고 재구매 의사도 있습니다,01. 화이트/블랙/XL,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,사이즈도 크고 옷도좋고 넓이도 적당하니 좋습니다,01. 화이트/블랙/M,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,안에 받쳐입기 죠아용~블랙만 2개샀는데 흰색이랑 반반 살껄 ㅠ^,03. 블랙/블랙/S,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,무신사에서 사면 옷이든 잡화든 웬만해서 다 마음에 듭니다. 그러나 너무 얇고 목이 바로 늘어남.,02. 화이트/화이트/L,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,사이즈가 크지도않고 작지도않고 딱 이쁜거같습니다,01. 화이트/블랙/L,178,73,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,울 아들주려고 주문했는데적당히 잘맞네요잘입을께요,03. 블랙/블랙/M,170,73,-,-,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,이너로 입기 위해 한치수 작게 샀습니다.105 정도 입는데 XL 아니고 L로요.잘 입겠습니다^^,01. 화이트/블랙/L,174,75,-,-,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,사이즈도 괜찮고 잘 늘어나지도 않아요. 가성비 좋은 반팔 중에 탑인 듯!,01. 화이트/블랙/L,179,83,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",-,얇아서 구김도 잘 가는 일반 면티예요 이너로 입기에 좋아요,02. 화이트/화이트/XL,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
