상품코드,브랜드명,상품명,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,구매하고 가격이 더 낮아져서 아쉬워요ㅠㅠ 일단 옷 자체는 되게 힙하고 예쁘게 잘 입었어요! 사진과 똑같아요,FREE,164,54,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,포장도 꼼꼼하고 옷도 예뻐용 옷도 스판끼도 쫀쫀해서 맘에 들어요,FREE,163,55,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,더 큰 사이즈가 있었으면 참 좋았을 텐데 아쉬움 입는 순간 애매해짐,FREE,163,55,빨라요,꼼꼼해요,작아요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",-,사진상으로는 딱 맞아 보이지만 직접 입었을 때는 흉통이 너무 커서 아쉬웠어요,FREE,0,0,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,귀여워요 근데 조금더 큰 사이즈가 있었으면 좋을 것 같아요,FREE,154,48,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",-,재질이 엄청 좋고 두꺼워요! 팔뚝살이 강조되지 않아서 좋은것 같고 다른 색상도 사고 싶어요.,FREE,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,두꺼워요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,친구 생일선물로 줬는데 생각보단 얇은 느낌이었고 어깨 미녀이신 분들한테 강력 추천 드립니다!!,FREE,168,47,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,여름휴가 갔을 때 입었는데 예뻐서 넘 만족해요 굿굿,FREE,155,41,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,"제 기준으로는 두께감 쪼~~금 있는 편이었어요! 등 부분이 확 파여 있어서, 놀러가거나 휴양지 갈 때 입으면 아주 예쁠 것 같습니다!",FREE,175,67,빨라요,꼼꼼해요,보통이에요,밝아요,보통이에요,두꺼워요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,조금 더 큰사이즈가 있으면 좋을 것 같아요지금도 예쁘긴해요,FREE,154,48,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,전체적으로 조금 큰 느낌이 들었는데 통이 너무 커서 겨드랑이 양옆이 들뜨고 옆에서 가슴이 조금 보일 정도였습니다흉통이 없으신 분은 많이 클 수 있을 것 같습니다,FREE,155,47,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000038,D.XO.H,택로고 나시 아이보리,"41,000",여,흉통부분이 벌어져서 핏이 안 예뻐용 사진보고 딱 달라붙는 건 줄 알았는데 벌어지고 길이감도 애매해요,FREE,156,45,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,색도 디자인도 다 예쁜데 뒷판이 프리해요 가디건 입어야할듯,FREE,162,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",-,생각보다 맘에 드네요 컬러도 예쁘고 핏도 예뻐요,FREE,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",-,컬러감이 예뻐요. 착용감도 편하고 잘 늘어나서 좋아요,FREE,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,이쁜데 생각보다 등이 더 파여있어서 자주 입기 쉽지 않네요,FREE,162,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",-,상품시진이랑 색 똑같고 너무 예쁜데 생각보다 레이어드로 매치하기 쉽지 않아용..🥲 하지만 예쁨,FREE,0,0,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,사진이랑 똑같은데 음.. 보세같아보이긴해요 약간,FREE,164,43,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,완전 예쁩니다여름에 두루두루 잘 입을거 같아요,FREE,162,50,아쉬워요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,단독으로 입기에는 부담스러워서 티셔츠 위에 레이어드 해서 입었더니 좋았어요! 마감도 좋고 원단도 괜찮아서 마음에 들었습니다~,FREE,155,42,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000040,D.XO.H,택로고 나시 라이트 핑크,"41,000",여,150초반한테 살짝 커요 그치만 이쁘고 시원시원한 재질이에요목부분 단추 안쪽으로 더 달아 수선하면 기장이나 파임이나 키에 상관없이 잘 입을 수 있을거 같아요,FREE,150,40,빨라요,꼼꼼해요,커요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
